Level,Field Name,Data Type,Required
Record,record_id,string,Yes
,source_id,string,Yes
,report_language,string,No
,date_received,date,No
,date_recorded,date,No
Incident,incident_id,string,Yes
,departure_country,string,No
,departure_latitude,float,No
,departure_longitude,float,No
,departure_type,string,No
,destination_country,string,No
,destination_latitude,float,No
,destination_longitude,float,No
,incident_description,string,No
Victim,victim_id,string,Yes
,number_of_victims,integer,No
,victim_nationality,string,No
,victim_age,integer,No
,victim_gender,string,No
,victim_situation,string,No
,current_lat,float,No
,current_long,float,No
Trafficker,trafficker_id,string,No
,trafficker_name,string,No
,trafficker_nat,string,No
Publication,pub_name,string,No
,pub_link,url,No
,pub_date,date,No
Updates,update_id,string,No
,update_type,string,No
,field_path,string,No
,is_critical,boolean,No
